Country,Yearly Water Used (billions of liters),Daily Water Used Per Capita (liters),Population,GDP per Capita($),GDP Current($),Urban Population(%),Industry Water Withdrawals(%),Water Usage Efficiency($/Liter/Day),Industrial Economic Intensity($)
Afghanistan,20280.0,2843.0,19542982,357.261152798144,14497243872.1337,26.616,0.8319875914,0.1256634374949504,297.2368460173152
Albania,1311.0,1196.0,3003387,6846.42614266044,19017242585.7803,63.799,1.256281407,5.724436574130802,8601.03786742304
Algeria,9978.0,678.0,40339329,4961.55257664733,225638456572.143,74.772,1.8256547505,7.317924154347095,9058.082031411714
Angola,705.8,99.0,19450959,2929.69445467272,104399746853.401,68.081,33.9472938509,29.592873279522426,99455.19854612707
Antigua and Barbuda,11.5,359.0,87674,20117.7653310355,1867733333.33333,24.346,21.7391304348,56.03834354048886,437342.72458807816
Argentina,37780.0,2493.0,41520740,13935.6811110049,632790070063.124,92.347,10.5876124934,5.589924232252266,147545.59143491386
Armenia,2847.0,2735.0,2851923,6571.97445545099,19513506553.1251,63.573,3.7074486013,2.402915705832172,24365.2575026411
Australia,16130.0,1826.0,24195701,64997.0136536475,1690858246994.43,86.488,18.1378476421,35.595297729270264,1178905.9308413516
Austria,3492.0,1144.0,8362829,52176.6649141178,471773629830.381,59.256,70.3821656051,45.60897282702605,3672306.6707072495
Azerbaijan,12780.0,3476.0,10071567,7770.594223351,78807470588.2353,57.17,4.6113510179,2.2354989135071923,35832.937581537495
Bahrain,434.4,844.0,1409661,30616.2610677495,46680398936.1702,89.743,3.2458563536,36.275190838565756,99375.98551023102
Bangladesh,35870.0,676.0,145421318,2716.48592677835,460131688909.301,39.711,2.1466406468,4.018470305885133,5831.3191068825745
Barbados,81.0,824.0,269477,22164.0260273876,6257303500.0,31.324,7.6543209877,26.898089839062624,169650.569593362
Belarus,1452.0,410.0,9708110,7994.64806074889,73775179924.603,80.326,30.1754385965,19.499141611582658,241242.01165775594
Belgium,6005.0,1523.0,10801356,50807.2047084918,593438820508.173,98.153,82.1270243373,33.359950563684706,4172644.5376044894
Belize,101.0,1151.0,240406,7068.45478269722,2846700000.0,46.396,20.9900990099,6.14114229600106,148367.56573581585
